ID,SP,L,W,Wb,A,W10,W25,W50,W80,W90,dW,BS,Hs,Mu,LBs,P,H,D,S,Sl,Sw,St
VASO15,oxycedrus,10.42,1.72,0.99,18.89,1.38,1.68,1.67,1.5,1.27,3.22,0.03,0.37,0.28,0.29,35.4,11.5,12.45,5,6.68,3.59,3.49
VASO21,oxycedrus,12.67,2.06,1.17,25.55,1.5,1.97,1.81,1.22,0.73,4.35,0.07,0.55,0.61,0.4,34.52,10.2,10.1,2,6.38,5.44,3.67
VASO22,oxycedrus,11.87,1.58,0.77,17.52,1.18,1.5,1.41,0.98,0.71,3.68,0.04,0.32,0.54,0.35,29.97,8.19,9.98,3,5.24,3.6,2.59
VASO23,oxycedrus,10.75,1.57,0.75,16.09,1.08,1.43,1.48,1.14,0.74,3.85,0.04,0.43,0.47,0.38,32.04,9.69,9.84,3,5.89,4.1,2.98
VASO24,oxycedrus,11.25,1.49,0.85,14.39,1.23,1.46,1.43,0.86,0.6,3.67,0.07,0.41,0.46,0.34,36.28,9.42,11.17,3,6.31,3.87,3.94
VASO25,oxycedrus,13.24,1.86,0.92,22.06,1.51,1.86,1.71,1.23,0.94,3.16,0.04,0.4,0.65,0.42,39.06,8.68,10.5,3,5.87,3.79,3.67
VASO31,oxycedrus,12.02,1.7,1.22,20.44,1.43,1.7,1.54,1.13,0.81,3.19,0.05,0.5,0.6,0.34,33.21,11.2,11.3,3,6.58,4.22,4.15
VASO32,oxycedrus,10.73,1.42,0.79,17.65,1.07,1.36,1.37,0.92,0.69,4.16,0,0.34,0.47,0.29,30.26,10.3,10.4,2,6.41,5.31,3.22
VASO33,oxycedrus,11.27,1.41,1.19,17.73,1.3,1.43,1.36,0.96,0.72,2.49,0.04,0.39,0.62,0.3,32.02,10.1,10.4,3,6.05,3.69,3.39
VASO34,oxycedrus,10.82,1.66,1.25,18.34,1.56,1.64,1.47,1.1,0.88,2.48,0.07,0.35,0.63,0.36,37.761,10.2,9.6,2,6.6,5.5,3.44
VASO35,oxycedrus,11.34,1.83,1.17,20.68,1.58,1.81,1.75,1.48,1.11,3.54,0.05,0.51,0.53,0.39,41.37,11,10.9,3,6.5,4.22,4.13
