"Trait1"	"Trait2"	"Trait3"	"Trait4"	"Trait5"	"Trait6"	"Trait7"	"Trait8"	"Trait9"	"Trait10"	"Trait11"	"Trait12"	"Trait13"
0.1675	-0.5695	-0.6166	0.4185	2.2893	1.7563	1.806	0.9269	-0.4808	-0.3724	-1.3353	-0.4157	0.6997
0.2696	-0.1339	-0.1697	1.0373	2.2058	2.3329	1.6677	0.608	-0.7097	-0.7757	-1.7377	0.6817	0.6753
-0.1257	-1.5525	-1.4944	0.1686	2.1504	1.1227	2.0239	1.0457	-0.2627	-0.4011	-0.5099	-1.4981	1.0598
0.1956	0.0558	0.0308	0.6592	-1.0132	-0.5077	1.4603	-3.4889	1.6638	-2.0032	-0.0165	4.1998	2.7867
0.0779	0.3835	0.265	0.5828	-0.8515	-0.5995	1.3146	-3.8247	1.5638	-2.0568	-0.2465	4.236	2.4101
1.0954	-1.2997	-1.776	-1.4273	0.4675	2.6309	-0.6224	0.3602	-1.9285	-0.7614	-0.664	-1.1758	-0.6573
1.0849	0.6535	0.668	-0.1062	-1.4843	4.0081	-1.0178	-2.1338	0.5499	-0.3896	-3.5064	1.2862	-3.4901
0.6301	1.6519	1.5932	0.781	-1.9699	6.362	-0.1292	-0.8198	-2.5479	-2.7757	-4.0812	2.4791	2.5601
0.9473	0.6154	0.5017	1.4205	-1.2572	4.5279	-1.1358	-3.1802	-0.0365	-2.3233	-3.7459	3.4842	-3.5219
-3.7019	0.3414	0.0131	2.3024	-26.034	19.4222	-0.5027	-20.6419	-3.2334	-11.6744	-13.3637	-1.8249	13.8411
