"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Lapsana communis","Lapsana communis",0.5,127,98.979228535,4966,1.0212,"Lapsana"
"Lathyrus latifolius","Lathyrus latifolius",2,220,435.7653916,7017,47.254,"Lathyrus"
"Lathyrus nissolia","Lathyrus nissolia",0.375,201.073333333333,54.45319753,975.116666666667,9.207,"Lathyrus"
"Lathyrus odoratus","Lathyrus odoratus",0.8,200.565,86.4725,2480.75,73.804,"Lathyrus"
"Lathyrus pratensis","Lathyrus pratensis",0.566666666666667,273.666666666667,6.958663343,158.333333333333,12.5195055555833,"Lathyrus"
"Lathyrus vernus","Lathyrus vernus",0.255,198.0975,132.091666666667,4380,16.258,"Lathyrus"
"Legousia speculum-veneris","Legousia speculum-veneris",0.1725,138.64,1.915,103.75,0.194,"Legousia"
"Leontodon hispidus","Leontodon hispidus",0.235,139.748,69.7610738788889,2280.66666666667,1.11426666664706,"Leontodon"
"Lepidium campestre","Lepidium campestre",0.2925,206.795,17.0929116466667,416.5,2.1738,"Lepidium"
"Leucanthemum vulgare","Leucanthemum vulgare",0.364,129.666666666667,27.1214530225,669.666666666667,0.383433333333333,"Leucanthemum"
"Leucojum aestivum","Leucojum aestivum",0.475,82.52,300,7415,46.3548,"Leucojum"
"Leucojum vernum","Leucojum vernum",0.1,84.97,95.96,3173.75,12.0404,"Leucojum"
"Levisticum officinale","Levisticum officinale",1.2,196,2507.6,67588,1.394,"Levisticum"
"Lilium bulbiferum","Lilium bulbiferum",0.6,140.52,26.795,461,7.4,"Lilium"
"Linaria vulgaris","Linaria vulgaris",0.416666666666667,189.25,5.67828227766667,105.3945,0.174676923076923,"Linaria"
"Linum usitatissimum","Linum usitatissimum",0.45,163.445,0.905,41.5,5.07,"Linum"
"Logfia minima","Logfia minima",0.125,367.185,0.2,6.635,0.025341,"Logfia"
"Lolium multiflorum","Lolium multiflorum",0.325,265,26.82177515,606,2.9086,"Lolium"
"Lolium perenne","Lolium perenne",0.125,214.3975,14.5298595333333,402,1.97511111111111,"Lolium"
"Lonicera caprifolium","Lonicera caprifolium",4.875,250.63,74.6525,1630.125,8.04,"Lonicera"
"Lotus corniculatus","Lotus corniculatus",0.429166666666667,186,4.49923305066667,132,1.4034375,"Lotus"
"Lotus pedunculatus","Lotus pedunculatus",0.2625,207.813333333333,16.1518002866667,511,4.62866666666667,"Lotus"
"Ludwigia palustris","Ludwigia palustris",0.12,205.2325,7.28,258.87,0.045,"Ludwigia"
"Lunaria annua","Lunaria annua",0.45,114.865,226.565,7897.83333333333,18.933,"Lunaria"
"Luzula campestris","Luzula campestris",0.27,245.74,4.315,73,0.676883076923077,"Luzula"
"Luzula pilosa","Luzula pilosa",0.15,228,26.46637744,664,0.9704,"Luzula"
"Lycopus europaeus","Lycopus europaeus",0.566666666666667,103.92,29.4,1814.75,0.233163636363636,"Lycopus"
"Lysimachia nummularia","Lysimachia nummularia",0.45,227.65,10.07904268,284.333333333333,0.5,"Lysimachia"
"Lysimachia punctata","Lysimachia punctata",0.55,246,129.304382,2841,0.4445,"Lysimachia"
"Lysimachia vulgaris","Lysimachia vulgaris",0.896,242.623333333333,95.08408684,2539.25,0.3224,"Lysimachia"
"Lythrum hyssopifolia","Lythrum hyssopifolia",0.311666666666667,218.27,0.49,12.5,0.332078947368421,"Lythrum"
"Lythrum portula","Lythrum portula",0.103333333333333,277,1.289932886,31,0.0332,"Lythrum"
"Lythrum salicaria","Lythrum salicaria",0.708333333333333,179.845,51.07559052,1742.375,0.085928,"Lythrum"
"Malus sylvestris","Malus sylvestris",6,248.8,200.25424625,2910.14,23.634,"Malus"
"Malva alcea","Malva alcea",0.65,136.21,49.95,1375.5,3.9,"Malva"
"Malva sylvestris","Malva sylvestris",0.575,171.22,341.6,7727.5,2.96045714285714,"Malva"
"Matthiola incana","Matthiola incana",0.476666666666667,119.17,26.485,590,2.06,"Matthiola"
"Medicago arabica","Medicago arabica",0.308333333333333,189.07,19.0475,675.585,1.8786,"Medicago"
"Medicago lupulina","Medicago lupulina",0.25,196,17.27838062,509.333333333333,1.77992777775,"Medicago"
"Medicago polymorpha","Medicago polymorpha",0.3625,224.065,33.205,667.25,2.946,"Medicago"
"Melica ciliata","Melica ciliata",0.36,506.78,11.175,204.03,0.8515135135,"Melica"
"Melilotus officinalis","Melilotus officinalis",1.075,237.666666666667,46.8907955283333,607,2.95879473684211,"Melilotus"
"Melittis melissophyllum","Melittis melissophyllum",0.3,148.295,45.22,2586.75,5.39,"Melittis"
"Mentha aquatica","Mentha aquatica",0.383333333333333,179.62,40.615563575,1722.4375,0.128323809571429,"Mentha"
"Mentha longifolia","Mentha longifolia",0.725,194.905,61.885,1777,0.064,"Mentha"
"Mentha pulegium","Mentha pulegium",0.166666666666667,179.3,6.32,198.27,0.077032,"Mentha"
"Mentha suaveolens","Mentha suaveolens",0.575,181.94,56.8633333333333,1483.75,0.0465,"Mentha"
"Menyanthes trifoliata","Menyanthes trifoliata",0.176666666666667,193.726666666667,211.286,4425.16666666667,2.97472,"Menyanthes"
"Mercurialis annua","Mercurialis annua",0.25,165.385,17.075,759.855,2.32230909090909,"Mercurialis"
"Mercurialis perennis","Mercurialis perennis",0.216666666666667,224.5,83.870610815,1890.5,5.55142857142857,"Mercurialis"
