"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg"
"250","Juncus inflexus",0.45,322.41,688.765,2219.25,0.0753834782608696
"251","Juncus maritimus",0.65,405.7,433.8,1090,0.03533
"252","Juncus subnodulosus",0.725,189,507.0784722,2080,0.01532
"253","Juncus tenageia",0.115,134.54,0.93,28,0.016
"254","Juncus tenuis",0.4075,109.57,14.45,276.5,0.0185
"255","Knautia arvensis",0.433333333333333,183.666666666667,140.7851567,2871.33333333333,4.13155757572727
"256","Lactuca perennis",0.25,140.22,109.56,2336.33,1.56
"257","Lactuca serriola",0.675,191,397.1180185,5993,0.5437
"258","Lactuca virosa",0.8525,173.58,304.153876116667,7390.7,0.8365
"259","Lamium amplexicaule",0.133333333333333,135,8.462668666,167,0.5788
"260","Lamium maculatum",0.375,197,47.04573503,1371.44,1.6085333334
"261","Lamium purpureum",0.225,139.8,11.3188013666667,537.498,0.7016
"262","Lapsana communis",0.5,127,98.979228535,4966,1.0212
"263","Lathyrus latifolius",2,220,435.7653916,7017,47.254
"264","Lathyrus nissolia",0.375,201.073333333333,54.45319753,975.116666666667,9.207
"265","Lathyrus odoratus",0.8,200.565,86.4725,2480.75,73.804
"266","Lathyrus pratensis",0.566666666666667,273.666666666667,6.958663343,158.333333333333,12.5195055555833
"267","Lathyrus vernus",0.255,198.0975,132.091666666667,4380,16.258
"268","Legousia speculum-veneris",0.1725,138.64,1.915,103.75,0.194
"269","Leontodon hispidus",0.235,139.748,69.7610738788889,2280.66666666667,1.11426666664706
"270","Lepidium campestre",0.2925,206.795,17.0929116466667,416.5,2.1738
"271","Leucanthemum vulgare",0.364,129.666666666667,27.1214530225,669.666666666667,0.383433333333333
"272","Leucojum aestivum",0.475,82.52,300,7415,46.3548
"273","Leucojum vernum",0.1,84.97,95.96,3173.75,12.0404
"274","Levisticum officinale",1.2,196,2507.6,67588,1.394
"275","Lilium bulbiferum",0.6,140.52,26.795,461,7.4
