"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"1809",806,"Scrophularia canina",NA,"Scrophularia",2,"Scrophularia canina","L.","Scrophularia",2,"kew-2585617",1,FALSE,0.8,0,NA,NA,NA,NA,"Scrophulariaceae",NA,"Scrophularia canina",NA
"747",812,"Eleusine indica",NA,"Eleusine",2,"Eleusine indica","(L.) Gaertn.","Eleusine",2,"kew-410636",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Eleusine indica",NA
"1685",813,"Rorippa amphibia",NA,"Rorippa",2,"Rorippa amphibia","(L.) Besser","Rorippa",2,"kew-2417224",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Rorippa amphibia",NA
"2073",815,"Verbascum thapsus",NA,"Verbascum",2,"Verbascum thapsus","L.","Verbascum",2,"kew-2453334",1,FALSE,0.8,0,NA,NA,NA,NA,"Scrophulariaceae",NA,"Verbascum thapsus",NA
"1686",816,"Rorippa sylvestris",NA,"Rorippa",2,"Rorippa sylvestris","(L.) Besser","Rorippa",2,"kew-2417195",1,FALSE,0.8,0,NA,NA,NA,NA,"Brassicaceae",NA,"Rorippa sylvestris",NA
"438",818,"Carex rostrata",NA,"Carex",2,"Carex rostrata","Stokes","Carex",2,"kew-230464",1,FALSE,0.8,0,NA,NA,NA,NA,"Cyperaceae",NA,"Carex rostrata",NA
"2081",819,"Veronica catenata",NA,"Veronica",2,"Veronica catenata","Pennell","Veronica",2,"kew-2453669",1,FALSE,0.8,0,NA,NA,NA,NA,"Plantaginaceae",NA,"Veronica catenata",NA
"1960",820,"Teucrium scordium",NA,"Teucrium",2,"Teucrium scordium","L.","Teucrium",2,"kew-203381",1,FALSE,0.8,0,NA,NA,NA,NA,"Lamiaceae",NA,"Teucrium scordium",NA
"966",827,"Glyceria fluitans",NA,"Glyceria",2,"Glyceria fluitans","(L.) R.Br.","Glyceria",2,"kew-417786",1,FALSE,0.8,0,NA,NA,NA,NA,"Poaceae",NA,"Glyceria fluitans",NA
"841",829,"Fallopia dumetorum",NA,"Fallopia",2,"Fallopia dumetorum","(L.) Holub","Fallopia",2,"kew-2807641",1,FALSE,0.8,0,NA,NA,NA,NA,"Polygonaceae",NA,"Fallopia dumetorum",NA
"1347",832,"Oenanthe aquatica",NA,"Oenanthe",2,"Oenanthe aquatica","(L.) Poir.","Oenanthe",2,"kew-2391299",1,FALSE,0.8,0,NA,NA,NA,NA,"Apiaceae",NA,"Oenanthe aquatica",NA
